#curie_map:
#  owaspai: https://genai.owasp.org/llmrisk/
#  ibmairisk: https://www.ibm.com/docs/en/watsonx/saas?topic=
#  semapv: https://w3id.org/semapv/vocab/
#  skos: http://www.w3.org/2004/02/skos/core#
#mapping_set_id: https://github.com/IBM/risk-atlas-nexus/tree/main/src/data/mappings/ibm2owasp.tsv
#mapping_set_description: Mapping of IBM AI Risk Atlas to OWASP Gen AI Top 10 2025
#license: https://www.apache.org/licenses/LICENSE-2.0.html
#mapping_date: "2025-01-27"
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	author_id	confidence	comment
ibmairisk:atlas-toxic-output	toxic output	skos:broadMatch	owaspai:llm052025-improper-output-handling	LLM05:2025 Improper Output Handling	semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95
ibmairisk:atlas-data-poisoning	data poisoning	skos:broadMatch	owaspai:llm042025-data-and-model-poisoning	LLM04:2025 Data and Model Poisoning	semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95
ibmairisk:atlas-unreliable-source-attribution	unreliable source attribution	noMatch			semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95	Relates to explainability which is not covered in OWASP
ibmairisk:atlas-harmful-output	harmful output	skos:broadMatch	owaspai:llm052025-improper-output-handling	LLM05:2025 Improper Output Handling	semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95
ibmairisk:atlas-confidential-information-in-data	confidential information in data	skos:broadMatch	owaspai:llm022025-sensitive-information-disclosure	LLM02:2025 Sensitive Information Disclosure	semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95
ibmairisk:atlas-unrepresentative-data	unrepresentative data	skos:broadMatch	owaspai:llm042025-data-and-model-poisoning	LLM04:2025 Data and Model Poisoning	semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95
ibmairisk:atlas-lack-model-transparency	lack model transparency	noMatch			semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95	Relates to explainability which is not covered in OWASP
ibmairisk:atlas-personal-information-in-prompt	personal information in prompt	skos:broadMatch	owaspai:llm022025-sensitive-information-disclosure	LLM02:2025 Sensitive Information Disclosure	semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95
ibmairisk:atlas-impact-on-human-agency	impact human agency	skos:broadMatch	owaspai:llm092025-misinformation	LLM09:2025 Misinformation	semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95
ibmairisk:atlas-exposing-personal-information	exposing personal information	skos:broadMatch	owaspai:llm022025-sensitive-information-disclosure	LLM02:2025 Sensitive Information Disclosure	semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95
